                                                              MINISTERIO DE TRANSPORTES
                                                               LISTADO DE INFRACCIONES
======================================================================================================================================================
                                                                           MULTA MAS       ULTIMA MULTA      TOTAL EN       MULTAS          MULTAS            
   No.  DNI          PLACAS                                                ANTIGUA         PAGADA            MULTAS         PAGADA        PENDIENTES        
   01)  12270502     G855-340/G266-362/G250-663/G991-678/P246-429          01/02/2020      06/05/2025        10809.02       7891.10        2917.92        
   02)  12443643     P235-315/M483-214/G926-575/M421-807                   09/04/2020      07/06/2024        9423.88        7010.04        2413.84        
   03)  12858682     M207-572/M137-958/G520-337                            15/09/2020      08/11/2024        7339.42        4308.97        3030.45        
   04)  13219606     M312-270/P201-291                                     15/11/2020      17/08/2024        5856.25        3325.67        2530.58        
   05)  13628871     P203-441                                              06/05/2020      28/07/2020        1397.18        523.54         873.64         
   06)  19568447     M907-605                                              12/02/2021      24/10/2024        3762.91        3138.29        624.62         
   07)  47528229     M466-711/P325-365                                     23/08/2020      28/02/2025        9495.55        3782.25        5713.30        
   08)  47844324     P618-120                                              12/01/2020      26/12/2023        5030.13        1190.74        3839.39        
   09)  47844325     G835-830                                              10/04/2020      14/06/2024        2651.27        1798.29        852.98         
   10)  47844326     P131-278                                              03/09/2021      25/08/2023        2020.56        1227.08        793.48         
   11)  48450395     P559-672/M317-350/G328-654/P692-666                   02/05/2020      11/04/2025        16025.97       11803.12       4222.85        
   12)  48528209     G402-859/P156-716/G262-654/G400-314/G958-240          24/07/2020      19/11/2024        17779.00       7322.55        10456.45       
   13)  73567806     M993-637/M666-407/P426-388                            22/05/2020      28/12/2024        15354.89       13670.51       1684.38        
   14)  73818744     G938-342/G662-512/P251-666/G393-114                   29/01/2020      26/01/2025        9482.87        5774.02        3708.85        
   15)  73972114     M862-577/G657-925/P255-643/M646-319/M655-864          08/02/2020      04/05/2025        15251.82       9256.80        5995.02        
   16)  74325123     G214-608/P770-513/G968-856/M348-264/P905-539          18/09/2020      12/12/2023        24788.90       20628.73       4160.17        
   17)  75348522     P310-575/G113-951/G744-786/G841-644/G938-356          16/06/2020      29/09/2024        14695.39       11773.41       2921.98        
   18)  75945248     G450-448/G721-932/P939-759                            17/04/2020      01/03/2025        13910.73       12667.40       1243.33        
   19)  77367073     G542-724/M655-400/G974-598                            18/01/2020      09/10/2024        15747.19       10473.98       5273.21        
   20)  77763722     P163-421/M277-299/P482-255                            20/02/2020      10/04/2025        11400.55       10166.30       1234.25        
   21)  79641328     G734-120/G437-799/M512-863                            19/01/2020      15/03/2025        10700.59       9236.08        1464.51        
   22)  79672079     P599-629/M852-620/P282-128                            24/09/2020      19/09/2024        3922.52        1788.74        2133.78        
   23)  79766395     P195-859/G485-562/G763-950                            06/01/2020      07/04/2024        11723.31       7579.89        4143.42        
   24)  80310768     G752-478/M477-146/M267-848/M982-853/G893-799          15/01/2020      27/04/2025        21706.43       17394.87       4311.56        
   25)  80457845     G874-915/P670-603/M912-415/G616-581/G410-582          07/03/2020      02/10/2024        16743.40       13249.10       3494.30        
   26)  81485316     M500-707/G156-830/M774-204/P486-917/G710-594          22/02/2020      07/02/2025        8731.56        5484.82        3246.74        
   27)  81528434     M832-314/G650-450/G377-489/P325-587/M837-854          28/01/2020      25/03/2025        35732.74       27271.59       8461.15        
   28)  81799482     G592-689/M561-874/G605-765/M359-944/G635-752          15/01/2020      17/07/2024        9766.86        5381.56        4385.30        
   29)  82031355     P386-900                                              26/06/2022      28/07/2022        592.92         592.92         0.00           
   30)  82870470     P478-603/P516-487                                     09/12/2020      26/10/2024        7324.54        5445.40        1879.14        
   31)  84186239     P582-282/G872-544                                     01/05/2021      11/01/2025        9689.98        8284.98        1405.00        
   32)  85501710     P532-434/M651-665                                     23/10/2020      31/03/2025        3416.37        1888.63        1527.74        
   33)  86429854     M510-956/P364-899/G374-384/M580-968                   01/08/2020      17/12/2024        15999.65       7634.03        8365.62        
   34)  86718074     G368-136                                              01/10/2020      18/04/2025        2352.04        2131.79        220.25         
   35)  87282766     M440-802                                              14/05/2020      31/12/2023        2367.97        1781.52        586.45         
   36)  87495937     G329-867                                              06/05/2020      27/04/2023        1762.77        824.88         937.89         
   37)  88167677     P665-969/G264-957/G325-333/M366-914/M435-175          22/02/2020      18/12/2024        20318.59       12843.18       7475.41        
   38)  88854166     G411-657/P131-555/M257-722/G568-563/P324-421          17/02/2020      16/02/2025        9257.21        7271.37        1985.84        
   39)  89314225     G760-721/G256-432/P152-838/P355-270/M288-737          11/01/2020      18/03/2025        17900.17       12795.11       5105.06        
   40)  89941095     P474-593/P860-616/M708-335/G138-788/G226-459          21/03/2020      16/11/2024        18079.38       14188.81       3890.57        
   41)  90467829     P863-768/G600-343/M844-240/P985-495/G189-507          04/01/2020      26/02/2025        16768.37       13734.67       3033.70        
======================================================================================================================================================
   TOTALES:                                                                                                  457080.85      324536.73      132544.12
======================================================================================================================================================
